"","Estudiante","nodos","aristas","densidad","diametro","long.med.cam","grado_medio","modularidad","coeficiente_cluster","Dropout"
"288","E00085",60,35,0.01,9,2.73,1.17,0.75,0,1
"289","E00086",60,35,0.01,7,2.83,1.17,0.73,0,1
"290","E00087",60,39,0.01,7,2.4,1.3,0.72,0,1
"291","E00088",60,42,0.01,8,2.8,1.4,0.78,0,0
"292","E0009",60,21,0.01,5,1.98,0.7,0.72,0,1
"293","E00090",60,37,0.01,10,2.96,1.23,0.73,0,1
"294","E00091",60,2,0,0,NA,0.07,0,NA,0
"295","E00092",60,29,0.01,4,1.84,0.97,0.75,0,1
"296","E00097",60,70,0.02,11,3.27,2.33,0.82,0,0
"297","E00098",60,49,0.01,10,3.19,1.63,0.74,0,1
