"estudiante","agno","semestre","evaluacion","curso","estado"
"E0005",2012,1,0.00291905113424675,"A00075","CURSADA"
"E0005",2012,1,0,"A00076","CURSADA"
"E0005",2012,1,0.00324339014916305,"A00077","CURSADA"
"E0005",2012,1,0.00518942423866088,"A00078","CURSADA"
"E0005",2012,1,0,"A00079","ANULADA"
"E0005",2012,1,0,"A00080","CURSADA"
"E0006",2014,1,0.0098923399549473,"A00074","CURSADA"
"E0006",2014,1,0.009568000940031,"A00075","CURSADA"
"E0006",2014,1,0,"A00076","CURSADA"
"E0006",2014,1,0.0092436619251147,"A00077","CURSADA"
"E0006",2014,1,0.00843281438782393,"A00079","CURSADA"
"E0006",2014,1,0.00810847537290763,"A00080","CURSADA"
"E0006",2014,1,0.0103788484773218,"A00078","CURSADA"
"E0006",2014,2,0.00827064488036578,"A00056","CURSADA"
"E0006",2014,2,0.0098923399549473,"A00081","CURSADA"
"E0006",2014,2,0.00681111931324241,"A00059","CURSADA"
"E0006",2014,2,0.00810847537290763,"A00058","CURSADA"
"E0006",2014,2,0.00681111931324241,"A00057","CURSADA"
"E0006",2014,2,0.0107031874922381,"A00082","CURSADA"
"E0006",2015,1,0.0100545094624055,"A00060","CURSADA"
"E0006",2015,1,0.00745979734307502,"A00062","CURSADA"
"E0006",2015,1,0.0103788484773218,"A00061","CURSADA"
"E0006",2015,1,0.00697328882070056,"A00063","CURSADA"
"E0006",2015,1,0.00762196685053317,"A00065","CURSADA"
"E0006",2015,1,0.00778413635799132,"A00064","CURSADA"
"E0006",2015,2,0.0110275265071544,"A00083","CURSADA"
"E0006",2015,2,0.00810847537290763,"A0002","CURSADA"
"E0006",2015,2,0.00940583143257285,"A0005","CURSADA"
"E0006",2015,2,0.00778413635799132,"A0003","CURSADA"
"E0006",2015,2,0.00762196685053317,"A0004","CURSADA"
"E0007",2015,1,0.00291905113424675,"A00067","CURSADA"
"E0007",2015,1,0.00891932291019839,"A00066","CURSADA"
"E0007",2015,1,0.00762196685053317,"A00068","CURSADA"
"E0007",2015,1,0.00291905113424675,"A00069","CURSADA"
"E0007",2015,1,0,"A00070","ANULADA"
"E0007",2015,2,0.00227037310441414,"A00067","CURSADA"
"E0007",2015,2,0.00178386458203968,"A00070","CURSADA"
"E0007",2015,2,0.00437857670137012,"A00072","CURSADA"
"E0007",2015,2,0.0034055596566212,"A00069","CURSADA"
"E0007",2015,2,0,"A00073","CURSADA"
"E0008",2009,1,0.00827064488036578,"A00084","CURSADA"
"E0008",2009,1,0.00713545832815871,"A00030","CURSADA"
"E0008",2009,1,0.00973017044748915,"A00085","CURSADA"
"E0008",2009,1,0.00713545832815871,"A00019","CURSADA"
"E0008",2009,1,0.00681111931324241,"A00065","CURSADA"
"E0008",2009,2,0.0064867802983261,"A00040","CURSADA"
"E0008",2009,2,0.00567593276103534,"A00034","CURSADA"
"E0008",2009,2,0.00681111931324241,"A00033","CURSADA"
"E0008",2009,2,0.0107031874922381,"A00032","CURSADA"
"E0008",2010,1,0.00681111931324241,"A00036","CURSADA"
"E0008",2010,1,0.00243254261187229,"A00086","CURSADA"
"E0008",2010,1,0,"A00037","CURSADA"
"E0008",2010,1,0.00681111931324241,"A00053","CURSADA"
"E0008",2010,1,0.0061624412834098,"A00017","CURSADA"
"E0008",2010,2,0.00794630586544947,"A00043","CURSADA"
"E0008",2010,2,0.0064867802983261,"A0007","CURSADA"
"E0008",2010,2,0.00827064488036578,"A00041","CURSADA"
"E0008",2010,2,0.0064867802983261,"A00034","CURSADA"
